Date,RmRf,R_ME,R_IA,R_ROE,EG_factor
2021-01-31,0.00046175,-0.06678568,-0.01058574,0.06539067,-0.04842703
2021-02-28,-0.00395238,0.04216960,0.02302123,-0.01139162,0.05783980
2021-03-31,-0.03016471,0.04834218,0.02054414,-0.00435006,0.06913158
2021-04-30,0.02592788,-0.00390293,0.01406218,0.06650189,-0.02608202
2021-05-31,0.04562595,0.01516086,0.00861976,-0.01095802,-0.00958247
2021-06-30,0.01572041,0.02462557,0.01323273,0.00759168,-0.02541301
2021-07-31,-0.03018472,0.02802359,-0.00599180,0.00191479,-0.01014209
2021-08-31,0.03538170,0.02128348,0.06835525,0.05815155,0.04774118
2021-09-30,-0.00363263,-0.00667896,-0.00008965,-0.00460252,0.07519229
2021-10-31,-0.00558178,-0.01543845,-0.03413319,-0.00331012,-0.06205007
2021-11-30,0.02589677,0.09895969,-0.03435985,-0.00658946,-0.01709105
2021-12-31,0.01580781,0.02373033,0.00938745,-0.03233598,0.07660052
2022-01-31,-0.10002897,0.02533021,0.01473047,-0.01141253,0.05276383
2022-02-28,0.03194583,0.01199454,0.02630540,0.00577527,-0.01683281
2022-03-31,-0.07966303,0.06557484,0.02477840,-0.02487391,0.06285924
2022-04-30,-0.08857033,-0.07592831,0.00703168,0.04011743,0.01960633
2022-05-31,0.06492026,0.06080767,0.02506760,0.01195814,-0.01333392
2022-06-30,0.09014215,-0.01489654,-0.04101027,-0.00845576,-0.04170253
2022-07-31,-0.02594703,0.06873793,0.01533521,0.01082903,0.01915604
2022-08-31,-0.02932514,0.01195075,0.02293694,0.01833196,0.02375663
2022-09-30,-0.07307706,-0.02039972,0.00639774,0.01057700,0.01039392
2022-10-31,-0.03375139,0.07049229,0.01385270,-0.00783178,-0.01015720
2022-11-30,0.07799326,0.01116953,0.01907329,-0.03110519,-0.00794478
2022-12-31,-0.02316882,-0.00325969,-0.01506404,-0.00514629,0.00440522
2023-01-31,0.06872433,0.01988723,-0.01887836,0.02070435,-0.02847036
2023-02-28,0.00692331,0.02672426,0.01014331,-0.00054603,0.01182344
2023-03-31,-0.00857491,-0.01617338,0.01055861,-0.00203877,0.00119871
2023-04-30,-0.01743623,-0.02899552,0.03611266,0.02971979,-0.03418956
2023-05-31,-0.03746191,0.05633444,-0.00238532,0.01402976,-0.00175100
2023-06-30,0.02008961,0.02670018,-0.01572019,0.01977153,-0.00640773
2023-07-31,0.01983913,-0.00359692,0.02581575,-0.00723909,0.02899686
2023-08-31,-0.05699790,0.03727237,0.01566045,0.03122502,-0.00332876
2023-09-30,-0.01171597,0.01743543,-0.00192351,-0.00152217,0.01205830
2023-10-31,-0.02833906,0.02385285,-0.00221115,-0.02229367,0.01389665
2023-11-30,0.00460293,0.04803611,0.01361405,-0.00442635,0.00424162
2023-12-31,-0.02114115,0.01577184,-0.01102463,0.01373097,0.00148289
2024-01-31,-0.11686668,-0.06246466,0.03706568,0.07256298,-0.05730718
2024-02-29,0.09199747,-0.08726088,-0.03144805,0.00852276,0.02446094
2024-03-31,0.02464995,0.06372916,-0.01145391,-0.00601142,-0.01793940
2024-04-30,0.00904728,-0.03546386,-0.01452829,0.06081631,-0.00458955
2024-05-31,-0.01134887,0.00339875,-0.01510563,0.02878936,-0.00260649
2024-06-30,-0.04925274,-0.03172099,0.00528134,0.04874399,0.00412937
2024-07-31,-0.01259614,0.01207311,0.02592322,-0.03458464,-0.01811083
2024-08-31,-0.03995224,0.02663299,0.00819922,0.01730315,0.00968975
2024-09-30,0.19941260,0.00281798,0.00677396,-0.06586427,-0.00120998
2024-10-31,-0.00149938,0.06056587,0.02250286,-0.10400162,-0.01240295
2024-11-30,0.00823037,0.06032948,0.00953830,-0.00508086,-0.00818878
2024-12-31,-0.01456574,-0.01676133,-0.00117011,0.06925621,-0.00884602
2025-01-31,-0.02884805,0.02718857,-0.00308735,0.04307143,0.00819073
2025-02-28,0.03631526,0.02161988,-0.01387101,-0.06376586,0.01384264
2025-03-31,-0.00145334,0.01494853,-0.02050132,0.01921115,-0.01658251
2025-04-30,-0.03409477,0.02341171,0.01387690,0.02882018,-0.01548848
2025-05-31,0.02413231,0.05006828,0.01202423,-0.01080154,-0.00148394
2025-06-30,0.03329086,0.03031396,0.00000804,-0.02354204,0.00756633
2025-07-31,0.04744314,-0.00109595,-0.00638588,0.00359396,-0.00905181
2025-08-31,0.09817694,-0.02604521,-0.02501108,0.03121053,0.04516390
2025-09-30,0.02740559,-0.01560372,-0.02964992,0.01283694,0.00993117
2025-10-31,0.00552883,0.02502923,0.01762902,-0.00023606,-0.02427640
2025-11-30,-0.02326903,0.04052330,0.01731715,-0.02188776,-0.01833200
2025-12-31,0.02979749,-0.02031445,-0.01027433,0.02658955,0.00810851
